id;type;actionby;duration;records;created
1;images;System;102.82931995392;-400;2016-11-18 15:08:26.798496
2;video;System;176.52515816689;606;2016-11-18 15:24:46.512222
3;images;System;127.42907190323;400;2016-11-18 16:53:09.062012
4;video;System;185.95362401009;494;2016-11-18 17:00:10.517562
5;video;System;177.91962313652;494;2016-11-21 17:00:00.373788
6;images;System;116.35744810104;400;2016-11-21 17:44:55.696157
7;images;System;114.50951194763;400;2016-11-23 10:39:01.273932
8;images;System;127.17271304131;400;2016-11-23 10:48:36.797429
9;video;System;139.7048830986;494;2016-11-23 10:59:34.543407
10;video;System;159.05868506432;494;2016-11-23 11:05:34.983495
11;video;System;142.63487577438;494;2016-11-23 11:07:57.674026
12;images;System;113.13658380508;400;2016-11-23 11:14:32.277355
13;images;System;0.0088989734649658;0;2016-11-23 11:15:40.7976
14;images;System;0.0058820247650146;0;2016-11-23 11:16:18.22716
15;images;System;0.011219024658203;400;2016-11-23 11:17:29.809536
16;images;System;0.0072958469390869;400;2016-11-23 11:17:54.804973
17;images;System;0.0093660354614258;400;2016-11-23 11:19:06.053824
18;images;System;0.0075139999389648;400;2016-11-23 11:19:26.172137
19;images;System;0.010228157043457;400;2016-11-23 11:20:21.97859
20;images;System;113.18767118454;400;2016-11-23 11:22:48.453666
21;images;System;0.013031005859375;0;2016-11-23 11:26:46.148934
22;images;System;0.0077700614929199;0;2016-11-23 11:27:25.152984
23;images;System;0.0097920894622803;0;2016-11-23 11:27:52.655467
